package,severity,title,installed_versions,patched_versions,advisory,dependency_paths
@auth/core,critical,"Auth.js: Email normalizer validates the address before Unicode normalization, allowing a homoglyph @ bypass",0.41.0,>=0.41.3,https://github.com/advisories/GHSA-7rqj-j65f-68wh,apps/admin > next-auth@5.0.0-beta.30 > @auth/core@0.41.0; apps/web > next-auth@5.0.0-beta.30 > @auth/core@0.41.0
next-auth,critical,Auth.js: Configuration errors can cause existence-based auth checks to fail open (auth object populated with an error),5.0.0-beta.30,>=5.0.0-beta.32,https://github.com/advisories/GHSA-8fpg-xm3f-6cx3,apps/admin > next-auth@5.0.0-beta.30; apps/web > next-auth@5.0.0-beta.30
next-auth,critical,"Auth.js: Email normalizer validates the address before Unicode normalization, allowing a homoglyph @ bypass",5.0.0-beta.30,>=5.0.0-beta.32,https://github.com/advisories/GHSA-7rqj-j65f-68wh,apps/admin > next-auth@5.0.0-beta.30; apps/web > next-auth@5.0.0-beta.30
@auth/core,high,Auth.js: getToken() throws an uncaught exception on malformed Bearer authorization headers,0.41.0,>=0.41.3,https://github.com/advisories/GHSA-xmf8-cvqr-rfgj,apps/admin > next-auth@5.0.0-beta.30 > @auth/core@0.41.0; apps/web > next-auth@5.0.0-beta.30 > @auth/core@0.41.0
@nestjs/microservices,high,Nest Affected by DoS via Recursive handleData in JsonSocket (TCP Transport),11.1.11,>=11.1.19,https://github.com/advisories/GHSA-hpwf-8g29-85qm,apps/bff > @nestjs/cache-manager@3.1.0 > @nestjs/core@11.1.9 > @nestjs/microservices@11.1.11; apps/bff > @nestjs/core@11.1.9 > @nestjs/microservices@11.1.11; apps/bff > @nestjs/platform-express@11.1.9 > @nestjs/core@11.1.9 > @nestjs/microservices@11.1.11; apps/bff > @nestjs/schedule@5.0.1 > @nestjs/core@11.1.9 > @nestjs/microservices@11.1.11; apps/bff > @nestjs/swagger@11.2.3 > @nestjs/core@11.1.9 > @nestjs/microservices@11.1.11; apps/bff > @nestjs/terminus@11.0.0 > @nestjs/core@11.1.9 > @nestjs/microservices@11.1.11; apps/bff > @nestjs/terminus@11.0.0 > @nestjs/microservices@11.1.11; apps/bff > @nestjs/terminus@11.0.0 > @nestjs/typeorm@11.0.0 > @nestjs/core@11.1.9 > @nestjs/microservices@11.1.11; apps/bff > @nestjs/typeorm@11.0.0 > @nestjs/core@11.1.9 > @nestjs/microservices@11.1.11; apps/bff > @welpco/database@link:../../packages/database > @nestjs/typeorm@11.0.0 > @nestjs/core@11.1.9 > @nestjs/microservices@11.1.11; packages/database > @nestjs/typeorm@11.0.0 > @nestjs/core@11.1.9 > @nestjs/microservices@11.1.11
axios,high,Axios: Incomplete Fix for CVE-2025-62718 — NO_PROXY Protection Bypassed via RFC 1122 Loopback Subnet (127.0.0.0/8) in Axios 1.15.0,1.13.2,>=1.15.1,https://github.com/advisories/GHSA-pmwg-cvhr-8vh7,apps/bff > @nestjs/axios@3.1.3 > axios@1.13.2; apps/bff > @nestjs/terminus@11.0.0 > @nestjs/axios@3.1.3 > axios@1.13.2; apps/bff > axios@1.13.2
axios,high,"Axios: Prototype Pollution Gadgets - Response Tampering, Data Exfiltration, and Request Hijacking",1.13.2,>=1.15.1,https://github.com/advisories/GHSA-pf86-5x62-jrwf,apps/bff > @nestjs/axios@3.1.3 > axios@1.13.2; apps/bff > @nestjs/terminus@11.0.0 > @nestjs/axios@3.1.3 > axios@1.13.2; apps/bff > axios@1.13.2
axios,high,Axios: Header Injection via Prototype Pollution,1.13.2,>=1.15.1,https://github.com/advisories/GHSA-6chq-wfr3-2hj9,apps/bff > @nestjs/axios@3.1.3 > axios@1.13.2; apps/bff > @nestjs/terminus@11.0.0 > @nestjs/axios@3.1.3 > axios@1.13.2; apps/bff > axios@1.13.2
axios,high,Axios is Vulnerable to Denial of Service via __proto__ Key in mergeConfig,1.13.2,>=1.13.5,https://github.com/advisories/GHSA-43fc-jf86-j433,apps/bff > @nestjs/axios@3.1.3 > axios@1.13.2; apps/bff > @nestjs/terminus@11.0.0 > @nestjs/axios@3.1.3 > axios@1.13.2; apps/bff > axios@1.13.2
axios,high,Axios has prototype pollution read-side gadgets in HTTP adapter that allow credential injection and request hijacking,1.13.2,>=1.15.2,https://github.com/advisories/GHSA-q8qp-cvcw-x6jj,apps/bff > @nestjs/axios@3.1.3 > axios@1.13.2; apps/bff > @nestjs/terminus@11.0.0 > @nestjs/axios@3.1.3 > axios@1.13.2; apps/bff > axios@1.13.2
axios,high,Axios: Regular Expression Denial of Service (ReDoS) via Cookie Name Injection,1.13.2; 1.15.2,>=1.16.0,https://github.com/advisories/GHSA-hfxv-24rg-xrqf,apps/bff > @nestjs/axios@3.1.3 > axios@1.13.2; apps/bff > @nestjs/terminus@11.0.0 > @nestjs/axios@3.1.3 > axios@1.13.2; apps/bff > axios@1.13.2; apps/bff > @welpco/sms@link:../../packages/sms > twilio@5.13.1 > axios@1.15.2; apps/bff > twilio@5.13.1 > axios@1.15.2; packages/sms > twilio@5.13.1 > axios@1.15.2
axios,high,Allocation of Resources Without Limits or Throttling in Axios,1.13.2; 1.15.2,>=1.16.0,https://github.com/advisories/GHSA-777c-7fjr-54vf,apps/bff > @nestjs/axios@3.1.3 > axios@1.13.2; apps/bff > @nestjs/terminus@11.0.0 > @nestjs/axios@3.1.3 > axios@1.13.2; apps/bff > axios@1.13.2; apps/bff > @welpco/sms@link:../../packages/sms > twilio@5.13.1 > axios@1.15.2; apps/bff > twilio@5.13.1 > axios@1.15.2; packages/sms > twilio@5.13.1 > axios@1.15.2
axios,high,Axios: Proxy-Authorization Credential Leak to Origin Server Across HTTP-to-HTTPS Redirect in Axios Node.js HTTP Adapter,1.13.2; 1.15.2,>=1.16.0,https://github.com/advisories/GHSA-p92q-9vqr-4j8v,apps/bff > @nestjs/axios@3.1.3 > axios@1.13.2; apps/bff > @nestjs/terminus@11.0.0 > @nestjs/axios@3.1.3 > axios@1.13.2; apps/bff > axios@1.13.2; apps/bff > @welpco/sms@link:../../packages/sms > twilio@5.13.1 > axios@1.15.2; apps/bff > twilio@5.13.1 > axios@1.15.2; packages/sms > twilio@5.13.1 > axios@1.15.2
